status,enter row,exit row,enter price,exit price,percentage
+,8,121,574.98,608.61,5.8489
+,144,427,619.87,656.78,5.95447
+,432,453,663.7,711.57,7.2126
+,467,650,700.71,758.35,8.22594
+,654,769,768.6,821.26,6.85142
+,771,781,853.3,894.5,4.82831
+,793,808,875.38,932.9,6.57086
+,832,847,936.25,996.99,6.48758
+,849,853,1024.78,1087.74,6.14376
+,871,1011,891,940,5.49944
+,1014,1051,956.35,1013.96,6.02395
+,1053,1148,1035.3,1109.9,7.20564
+,1152,1190,1145.46,1216.59,6.20973
-,1192,1241,1256.62,1120,-10.872
-,1252,1288,1210,1031.55,-14.7479
+,1294,1306,1057.43,1117.1,5.64293
+,1334,1345,991.1,1052.01,6.1457
+,1363,1383,1048.01,1127.95,7.62779
+,1385,1431,1147.42,1215.09,5.89758
+,1464,1519,1190.09,1275.6,7.18517
+,1522,1549,1280.24,1368,6.85496
+,1554,1567,1403.09,1494.85,6.53985
+,1587,1589,1508.23,1595.17,5.76437
+,1592,1606,1625.85,1728.99,6.34376
+,1609,1659,1795.09,1922.03,7.07151
+,1664,1673,1992.09,2139.19,7.3842
+,1675,1686,2197.6,2379.48,8.2763
+,1688,1691,2430,2572.99,5.88436
+,1708,1718,2080.1,2222.3,6.83621
+,1720,1745,2274.24,2420.49,6.43072
+,1747,1761,2476.64,2672.31,7.90062
-,1764,1886,2792.79,2356.42,-15.6249
-,1898,1993,2519.59,2187,-13.2002
+,2009,2012,2041.8,2151.8,5.3874
+,2015,2028,2231.8,2511.8,12.5459
+,2030,2096,2720.8,2889.76,6.20994
+,2098,2122,2911.8,3136.9,7.73061
+,2125,2145,3286.9,3459.79,5.25997
+,2158,2168,3413.89,3654.86,7.05852
+,2170,2175,3771.8,4062.61,7.71011
-,2186,2223,4190.5,3636.21,-13.2273
+,2227,2240,4059.4,4345.93,7.05843
+,2244,2267,4436.94,4680.4,5.48711
-,2272,2279,4768.15,4272.04,-10.4047
-,2287,2327,4405.15,3473.3,-21.1536
+,2334,2336,3570.83,3720.88,4.2021
+,2338,2382,3953.72,4068.01,2.8907
+,2385,2423,4228.14,4568.98,8.06123
+,2427,2443,4624.49,5097.49,10.2282
+,2445,2448,5318.14,5706.13,7.2956
+,2471,2481,5534.42,5967.8,7.83063
+,2500,2513,5662.43,6115.46,8.00063
+,2522,2529,6319.95,6587.94,4.24038
+,2531,2534,6790.38,7079.12,4.25219
-,2539,2573,7365.38,5898.76,-19.9123
+,2585,2590,6760.9,7244.28,7.14964
+,2593,2596,7432.1,7862.91,5.79661
+,2606,2633,8117.24,9514.82,17.2174
+,2640,2647,9813.41,10670.6,8.73448
+,2660,2662,10613.9,10891.9,2.6196
+,2664,2677,11434.4,12413.9,8.56681
+,2680,2681,13141.7,13908.4,5.83442
+,2683,2685,14554.2,15304,5.15178
+,2687,2702,16564.1,17138.7,3.46883
+,2718,2723,17079.6,18376.8,7.59551
+,2760,2763,15035.3,15659,4.1485
-,2766,2772,16247.9,13669.4,-15.8696
+,2778,2807,14850.3,15723.3,5.87868
-,2809,2830,16275,13053.5,-19.7942
-,2844,2849,14223.6,11357.9,-20.1473
-,2859,2925,11429.6,8540.07,-25.2813
+,2942,2945,7718.37,7919.32,2.60353
+,2952,2976,8373.9,9151.48,9.28576
+,2979,2983,9343.01,10015.1,7.19351
+,2985,2993,10222.7,10887.2,6.50036
-,2997,3015,11406,9660.08,-15.3069
+,3018,3034,10162.7,10869.5,6.95423
+,3042,3052,10698,11467.4,7.19188
-,3056,3065,11581.4,10398.8,-10.2106
+,3081,3083,9413.53,9772.92,3.8178
+,3108,3124,8408.95,8970.98,6.68371
+,3178,3222,7292.36,7628.56,4.6103
+,3227,3261,8050.67,8757.16,8.77554
+,3267,3314,9099.05,9587.14,5.36419
-,3336,3350,9192.58,8340.61,-9.26802
-,3355,3397,8700.83,7536.92,-13.377
-,3420,3482,7329.72,6461.3,-11.8479
-,3494,3556,6587.03,5776.04,-12.3119
+,3561,3565,6260.3,6531.95,4.33925
+,3577,3632,6590.69,7239.87,9.84996
+,3658,3663,7777.88,8340.26,7.2305
-,3680,3711,8163.25,6969.67,-14.6214
-,3718,3726,6965.17,6185.81,-11.1894
+,3732,3806,6375.56,6827.94,7.09553
-,3809,3860,6961.92,6172.94,-11.3328
-,3878,4147,6336,5558.32,-12.274
+,4199,4201,3973.39,4130.63,3.95733
+,4246,4291,3562.64,3861.4,8.38592
+,4296,4307,4063.9,4210.39,3.60467
+,4332,4364,3848.64,4025.39,4.59253
-,4373,4386,4052.89,3604.39,-11.0662
+,4434,4548,3580.4,3857.4,7.73657
+,4571,4731,3936.28,4688,19.0972
+,4740,4821,5120.38,5510.41,7.61721
+,4836,4881,5472.4,5881.4,7.47387
+,4892,4902,6000.65,6368.65,6.13267
+,4904,4905,7038.15,7114.15,1.07983
+,4907,4908,7361.15,7873.15,6.95543
-,4922,4929,8327.65,7193.79,-13.6156
