status,enter row,exit row,enter price,exit price,percentage
+,8,144,574.98,619.87,7.80723
+,175,428,611,659.5,7.93781
+,432,470,663.7,720.57,8.56863
+,478,748,727.48,779.9,7.2057
+,763,771,788.2,853.3,8.25933
+,775,807,866.36,928.17,7.13445
+,832,848,936.25,1004.63,7.3036
-,850,860,1032.03,901.58,-12.6401
+,871,1011,891,940,5.49944
+,1014,1052,956.35,1025,7.17833
-,1057,1067,1045.3,940.5,-10.0258
+,1073,1134,991,1056.88,6.64783
+,1136,1152,1065.81,1145.46,7.47319
+,1170,1192,1153,1256.62,8.98699
-,1236,1288,1193.51,1031.55,-13.5701
+,1294,1307,1057.43,1128.1,6.68318
+,1334,1346,991.1,1071,8.06175
+,1363,1385,1048.01,1147.42,9.4856
+,1398,1483,1143.66,1242.99,8.68527
+,1501,1549,1239.49,1368,10.368
+,1554,1587,1403.09,1508.23,7.49346
+,1589,1594,1595.17,1672.94,4.87534
+,1606,1655,1728.99,1860.99,7.63451
+,1659,1672,1922.03,2087.99,8.63462
+,1675,1686,2197.6,2379.48,8.2763
+,1688,1692,2430,2700.04,11.1128
+,1708,1720,2080.1,2274.24,9.33321
+,1729,1745,2232.19,2420.49,8.43566
+,1747,1761,2476.64,2672.31,7.90062
-,1764,1972,2792.79,2305.42,-17.451
-,1981,1997,2391.3,2045.27,-14.4704
+,2009,2012,2041.8,2151.8,5.3874
+,2015,2028,2231.8,2511.8,12.5459
+,2030,2096,2720.8,2889.76,6.20994
+,2098,2122,2911.8,3136.9,7.73061
+,2125,2164,3286.9,3504.48,6.61961
+,2166,2172,3542.22,3936.79,11.1391
+,2175,2188,4062.61,4275.8,5.24761
-,2192,2223,4353.7,3636.21,-16.48
+,2227,2244,4059.4,4436.94,9.30039
+,2252,2268,4356.36,4710.55,8.13041
-,2272,2280,4768.15,4151.02,-12.9428
-,2287,2327,4405.15,3473.3,-21.1536
+,2334,2338,3570.83,3953.72,10.7227
+,2367,2381,3774.74,4055.34,7.43362
+,2383,2423,4139.58,4568.98,10.373
+,2427,2443,4624.49,5097.49,10.2282
+,2445,2448,5318.14,5706.13,7.2956
+,2471,2507,5534.42,5978.6,8.02577
+,2513,2527,6115.46,6523.12,6.66606
+,2529,2538,6587.94,7209.14,9.42935
-,2555,2573,7282.27,5898.76,-18.9983
+,2585,2593,6760.9,7432.1,9.92767
+,2595,2606,7671.39,8117.24,5.81185
+,2613,2633,8265.35,9514.82,15.117
+,2640,2647,9813.41,10670.6,8.73448
+,2660,2663,10613.9,11362.5,7.0539
+,2675,2680,11888.2,13141.7,10.5434
+,2683,2685,14554.2,15304,5.15178
+,2687,2719,16564.1,17380.7,4.92969
-,2723,2745,18376.8,15255.9,-16.9829
+,2760,2764,15035.3,15795,5.05271
-,2766,2772,16247.9,13669.4,-15.8696
+,2778,2807,14850.3,15723.3,5.87868
-,2809,2830,16275,13053.5,-19.7942
-,2844,2849,14223.6,11357.9,-20.1473
-,2859,2926,11429.6,8497.51,-25.6537
+,2942,2946,7718.37,8229.11,6.6172
+,2952,2976,8373.9,9151.48,9.28576
+,2979,2985,9343.01,10222.7,9.41506
+,2991,2997,10519.2,11406,8.42959
-,3001,3012,11598.5,9835.65,-15.1987
+,3018,3045,10162.7,11058.1,8.81023
-,3051,3067,11364.5,9677.47,-14.8447
-,3081,3148,9413.53,7693.6,-18.2708
+,3178,3222,7292.36,7628.56,4.6103
+,3227,3261,8050.67,8757.16,8.77554
+,3267,3317,9099.05,9680.54,6.39067
-,3336,3364,9192.58,8153.92,-11.2989
-,3380,3411,8139.77,7263.46,-10.7658
-,3420,3482,7329.72,6461.3,-11.8479
+,3494,3632,6587.03,7239.87,9.91099
-,3658,3711,7777.88,6969.67,-10.3911
-,3718,3726,6965.17,6185.81,-11.1894
+,3732,3806,6375.56,6827.94,7.09553
-,3809,4004,6961.92,6120.17,-12.0908
-,4012,4147,6380.33,5558.32,-12.8835
+,4199,4202,3973.39,4179.88,5.19682
+,4246,4291,3562.64,3861.4,8.38592
-,4296,4497,4063.9,3362.69,-17.2546
+,4510,4545,3374.89,3664.91,8.59347
+,4547,4684,3781.91,4022.63,6.36504
+,4706,4731,3958.38,4688,18.4323
+,4740,4821,5120.38,5510.41,7.61721
+,4836,4892,5472.4,6000.65,9.65299
+,4898,4904,6104.15,7038.15,15.3011
+,4907,4908,7361.15,7873.15,6.95543
-,4922,4929,8327.65,7193.79,-13.6156
+,4957,4964,7857.89,8910.89,13.4005
+,4993,5054,8505.39,9197.39,8.13602
+,5057,5084,9260.14,10626.4,14.7541
+,5091,5097,11204.3,12427.2,10.915
-,5100,5118,13544.4,10235.9,-24.4273
+,5125,5132,10736.6,11837,10.2482
+,5146,5151,11843,12708.2,7.30533
-,5156,5167,12856.6,11149,-13.2818
-,5173,5174,11861.1,10064.5,-15.1472
+,5179,5266,10805.9,11739.1,8.63649
-,5268,5373,11910.1,9596.57,-19.4252
+,5381,5389,9569.35,10374.6,8.4151
-,5393,5485,10563.6,8526.63,-19.2829
+,5508,5624,8270.29,9705.15,17.3496
-,5645,5718,9304.15,8315.65,-10.6243
+,5759,5930,7253.65,7897.38,8.87457
+,5935,5964,8012.63,8771.64,9.47267
+,5979,6037,8880.65,9545.14,7.48245
+,6059,6074,9427.14,10119.6,7.34581
-,6084,6150,10293.6,8704.15,-15.4415
-,6167,6197,8804.65,7780.65,-11.6302
-,6203,6215,8055.15,5954.65,-26.0765
+,6244,6246,5600.5,6342.47,13.2483
+,6250,6315,6769.48,6958.07,2.78589
+,6317,6404,7150.06,7738.12,8.22455
+,6417,6420,7841.58,8594.42,9.60062
+,6423,6457,9158.57,9791.5,6.9108
+,6474,6484,8918.5,9610.15,7.75523
+,6495,6798,9846.85,10846.5,10.152
+,6800,6846,11238.7,11810.9,5.0918
-,6855,6968,12008.3,10275.3,-14.4313
+,6980,7124,10332.9,11363.1,9.9706
+,7128,7169,11554.4,12402.3,7.3386
+,7184,7233,13030.3,14145.4,8.55759
+,7235,7239,14467.1,15764.9,8.97082
+,7260,7284,15556.6,16946.6,8.93552
+,7303,7410,18694.4,20301.2,8.59499
+,7412,7415,21171.5,22653.8,7.00106
+,7425,7450,23671.1,27014.6,14.1246
+,7462,7474,27571.1,29448.3,6.80861
+,7477,7480,29529.2,33212.8,12.4743
+,7491,7497,33779.7,35945,6.41006
+,7499,7507,37488,41319.2,10.2199
+,7527,7531,37233.5,38963.6,4.64657
+,7569,7596,33288.2,36958,11.0242
+,7608,7618,35329.5,38211.2,8.15664
+,7627,7633,38304.7,42975.5,12.1938
+,7636,7654,46169.9,48479.2,5.00183
+,7667,7687,49148.2,52791.3,7.41255
-,7689,7700,55503.3,47096,-15.1474
+,7711,7764,51347.9,55213.9,7.52921
+,7766,7910,56872.5,62571.8,10.021
-,7915,7936,64267.5,54902,-14.5727
-,7943,7957,56723.7,49099.7,-13.4405
+,7963,7990,52342.2,56731.5,8.38571
-,7992,8044,57430.6,48650,-15.2891
+,8073,8415,41782.7,45685.5,9.34071
+,8426,8473,46197.3,50320.5,8.92531
+,8488,8538,48730.6,52513.8,7.76337
-,8554,8598,47195.2,41651.8,-11.7458
+,8608,8649,43332.7,47224.7,8.98165
+,8651,8667,48123.5,52756,9.62627
+,8678,8707,55807.3,59595.5,6.7881
+,8710,8728,61407.3,66471.3,8.24649
+,8746,8820,63589.5,68603.1,7.88432
-,8834,8856,65892.4,57548.7,-12.6627
-,8882,8924,57756.1,48892.4,-15.3467
-,8929,9061,50091,43557.7,-13.0429
-,9089,9133,43947.5,36628.9,-16.6531
+,9139,9192,36770.7,40528.6,10.2199
+,9194,9210,41471.8,44229.2,6.64889
-,9213,9286,44905.2,38186.1,-14.963
+,9304,9337,38891.6,41615.5,7.00367
+,9341,9505,44423.9,47949.3,7.93587
-,9528,9588,46024.8,40742.7,-11.4767
-,9600,9733,41012.5,36411.4,-11.2187
-,9777,9967,30354.8,23155.3,-23.7177
-,9980,9996,22633.9,18171,-19.7179
+,10003,10111,20579,21590.7,4.91587
