status,enter row,exit row,enter price,exit price,percentage
+,30,145,578.21,622.52,7.66331
+,44,342,591.16,633,7.07761
+,85,146,577.02,624.5,8.22848
+,90,158,579.84,625,7.78836
+,117,146,603,624.5,3.56551
+,121,427,608.61,656.78,7.91476
+,144,432,619.87,663.7,7.07084
+,145,435,622.52,675.42,8.49772
+,236,412,604.03,651.2,7.80921
+,252,427,607.2,656.78,8.16535
+,280,427,607.21,656.78,8.16357
+,283,427,609,656.78,7.84565
+,284,428,609.9,659.5,8.13248
+,285,428,610,659.5,8.11475
+,318,432,612.59,663.7,8.34326
+,325,433,616.73,666.03,7.99377
+,342,434,633,669.12,5.70616
+,343,437,634.12,684.71,7.97799
+,344,449,637.8,690.51,8.26435
+,361,449,637.99,690.51,8.2321
+,404,437,633.86,684.71,8.02228
+,408,449,634.45,690.51,8.836
+,409,449,638.98,690.51,8.06442
+,410,450,647.82,692,6.8198
+,428,453,659.5,711.57,7.89538
+,432,470,663.7,720.57,8.56863
+,433,470,666.03,720.57,8.18882
+,434,478,669.12,727.48,8.7219
+,435,478,675.42,727.48,7.7078
+,437,560,684.71,732.96,7.04678
+,449,574,690.51,741.22,7.34385
+,451,650,698.79,758.35,8.5233
+,452,650,706,758.35,7.41501
+,453,654,711.57,768.6,8.01467
+,468,651,709.95,762.5,7.40193
+,469,713,715.21,772.1,7.95431
+,470,731,720.57,772.97,7.27202
+,478,762,727.48,782.9,7.61808
+,512,651,703.52,762.5,8.38356
+,515,654,709.29,768.6,8.36188
+,516,654,714.45,768.6,7.57926
+,549,651,703.4,762.5,8.40205
+,552,654,709.79,768.6,8.28555
+,557,654,719,768.6,6.89847
+,559,763,729.55,788.2,8.0392
+,560,765,732.96,794.21,8.35653
+,561,765,736.07,794.21,7.89871
+,568,766,738.55,803.51,8.79561
+,569,766,740.12,803.51,8.56483
+,574,766,741.22,803.51,8.40371
+,594,766,741.4,803.51,8.37739
+,647,766,741.99,803.51,8.29122
+,650,767,758.35,812,7.07457
+,651,769,762.5,821.26,7.70623
+,654,771,768.6,853.3,11.02
+,713,771,772.1,853.3,10.5168
+,731,771,772.97,853.3,10.3924
+,732,771,773.04,853.3,10.3824
+,740,771,777.19,853.3,9.79297
+,763,771,788.2,853.3,8.25933
+,765,775,794.21,866.36,9.0845
+,766,775,803.51,866.36,7.82193
+,767,776,812,878.99,8.25
+,770,781,827.14,894.5,8.14372
+,771,802,853.3,907.76,6.38228
+,775,807,866.36,928.17,7.13445
+,776,833,878.99,958,8.98873
+,781,834,894.5,964.99,7.88038
+,797,833,884.52,958,8.30733
+,802,834,907.76,964.99,6.30453
+,805,838,918.16,988.59,7.67078
+,807,847,928.17,996.99,7.41459
+,808,848,932.9,1004.63,7.68893
+,833,849,958,1024.78,6.97077
+,834,851,964.99,1068.8,10.7576
+,836,851,974,1068.8,9.73306
+,837,851,985.98,1068.8,8.39976
+,838,851,988.59,1068.8,8.11358
+,848,853,1004.63,1087.74,8.2727
+,849,853,1024.78,1087.74,6.14376
-,850,860,1032.03,901.58,-12.6401
-,851,860,1068.8,901.58,-15.6456
-,889,891,883,815,-7.70102
+,925,949,846.35,905.51,6.99002
+,926,956,867.02,917.41,5.81186
+,928,1014,883.61,956.35,8.23214
+,949,1018,905.51,962,6.23847
+,950,1023,910.01,984,8.13068
+,982,1020,907.14,974.33,7.40679
+,984,1023,908,984,8.37004
+,1010,1025,919.3,991.9,7.89731
+,1011,1026,940,995.1,5.8617
+,1014,1052,956.35,1025,7.17833
+,1020,1063,974.33,1047.42,7.50157
+,1023,1134,984,1056.88,7.4065
+,1025,1137,991.9,1090.01,9.89112
+,1026,1137,995.1,1090.01,9.53773
+,1027,1137,995.26,1090.01,9.52013
+,1030,1137,999.07,1090.01,9.10247
+,1036,1137,1009.71,1090.01,7.95278
-,1051,1067,1013.96,940.5,-7.24486
-,1052,1067,1025,940.5,-8.2439
-,1053,1067,1035.3,940.5,-9.15677
-,1057,1066,1045.3,948,-9.30833
+,1094,1137,995,1090.01,9.54874
+,1105,1137,1008.03,1090.01,8.13269
+,1108,1144,1025,1093,6.63415
+,1132,1149,1039.73,1126.6,8.35505
+,1133,1149,1042.07,1126.6,8.11174
+,1134,1152,1056.88,1145.46,8.38127
+,1136,1152,1065.81,1145.46,7.47319
+,1137,1153,1090.01,1178.08,8.07974
+,1148,1185,1109.9,1194.9,7.65835
+,1149,1190,1126.6,1216.59,7.98775
+,1152,1192,1145.46,1256.62,9.7044
+,1153,1192,1178.08,1256.62,6.66678
+,1170,1192,1153,1256.62,8.98699
+,1171,1192,1155.15,1256.62,8.78414
+,1172,1192,1162.93,1256.62,8.05637
