status,enter row,exit row,enter price,exit price,percentage
+,30,145,578.21,622.52,7.66331
+,236,412,604.03,651.2,7.80921
+,428,453,659.5,711.57,7.89538
+,468,651,709.95,762.5,7.40193
+,654,771,768.6,853.3,11.02
+,775,807,866.36,928.17,7.13445
+,833,849,958,1024.78,6.97077
-,851,855,1068.8,936,-12.4251
-,889,891,883,815,-7.70102
+,925,949,846.35,905.51,6.99002
+,982,1020,907.14,974.33,7.40679
+,1023,1134,984,1056.88,7.4065
+,1136,1152,1065.81,1145.46,7.47319
+,1170,1192,1153,1256.62,8.98699
-,1239,1284,1249,1101.14,-11.8383
-,1302,1326,1077.13,966,-10.3172
+,1341,1379,1041,1108.89,6.52161
+,1383,1431,1127.95,1215.09,7.72552
+,1465,1525,1202,1299.21,8.08735
+,1545,1565,1305.01,1449.4,11.0643
+,1567,1592,1494.85,1625.85,8.76342
+,1594,1609,1672.94,1795.09,7.30152
+,1642,1655,1725.01,1860.99,7.88285
+,1659,1672,1922.03,2087.99,8.63462
+,1675,1686,2197.6,2379.48,8.2763
+,1688,1692,2430,2700.04,11.1128
+,1718,1743,2222.3,2406.55,8.29096
+,1747,1761,2476.64,2672.31,7.90062
-,1764,1816,2792.79,2416.35,-13.479
+,1830,1850,2532.2,2716.18,7.26562
-,1898,1977,2519.59,2275.68,-9.68054
+,2012,2016,2151.8,2286.8,6.27382
+,2028,2029,2511.8,2612.3,4.00111
+,2031,2122,2749.85,3136.9,14.0753
+,2125,2164,3286.9,3504.48,6.61961
+,2166,2172,3542.22,3936.79,11.1391
+,2175,2188,4062.61,4275.8,5.24761
-,2192,2222,4353.7,3860.53,-11.3276
+,2231,2256,4184.78,4534.7,8.36173
-,2267,2278,4680.4,4319.83,-7.70383
-,2290,2320,4536.92,3919.89,-13.6002
+,2338,2383,3953.72,4139.58,4.70089
+,2385,2423,4228.14,4568.98,8.06123
+,2427,2443,4624.49,5097.49,10.2282
+,2445,2448,5318.14,5706.13,7.2956
+,2481,2522,5967.8,6319.95,5.90083
+,2527,2533,6523.12,6967.53,6.81284
-,2539,2573,7365.38,5898.76,-19.9123
+,2585,2593,6760.9,7432.1,9.92767
+,2595,2606,7671.39,8117.24,5.81185
+,2613,2633,8265.35,9514.82,15.117
+,2640,2647,9813.41,10670.6,8.73448
+,2662,2671,10891.9,11579.1,6.30947
+,2675,2680,11888.2,13141.7,10.5434
+,2683,2685,14554.2,15304,5.15178
+,2687,2719,16564.1,17380.7,4.92969
-,2723,2745,18376.8,15255.9,-16.9829
+,2760,2764,15035.3,15795,5.05271
-,2766,2786,16247.9,12863.9,-20.8273
+,2792,2808,14690.8,15903,8.25184
-,2810,2825,16777.1,13756.6,-18.0038
-,2844,2849,14223.6,11357.9,-20.1473
+,2946,2966,8229.11,8750.47,6.33556
+,2976,2983,9151.48,10015.1,9.43694
+,2985,2996,10222.7,10992.5,7.53111
-,3001,3012,11598.5,9835.65,-15.1987
+,3029,3051,10665.4,11364.5,6.55494
-,3056,3064,11581.4,10585.7,-8.597
-,3108,3160,8408.95,7519.7,-10.575
+,3178,3224,7292.36,7648.46,4.88319
+,3227,3261,8050.67,8757.16,8.77554
+,3267,3317,9099.05,9680.54,6.39067
-,3381,3395,8403.96,7776.04,-7.47172
-,3422,3471,7422.01,6647.47,-10.4357
-,3494,3530,6587.03,5990.28,-9.05947
+,3561,3568,6260.3,6563.96,4.85057
-,3591,3600,6638.68,6298.85,-5.11894
+,3621,3632,6277.55,7239.87,15.3295
-,3658,3711,7777.88,6969.67,-10.3911
-,3734,3747,6487.55,5925.61,-8.66182
+,3754,3809,6366.82,6961.92,9.3469
-,3830,3848,7201.52,6336.92,-12.0058
