status,enter row,exit row,enter price,exit price,percentage
+,8,144,574.98,619.87,7.80723
+,9,145,576.22,622.52,8.03513
+,30,145,578.21,622.52,7.66331
+,43,342,580.8,633,8.9876
+,44,342,591.16,633,7.07761
+,66,146,580.2,624.5,7.6353
+,82,145,575.13,622.52,8.23988
+,85,146,577.02,624.5,8.22848
+,90,158,579.84,625,7.78836
+,111,145,576.97,622.52,7.89469
+,117,146,603,624.5,3.56551
+,121,427,608.61,656.78,7.91476
+,144,432,619.87,663.7,7.07084
-,145,232,622.52,592.93,-4.75326
+,175,428,611,659.5,7.93781
+,235,411,601.39,650,8.08294
+,236,412,604.03,651.2,7.80921
+,252,427,607.2,656.78,8.16535
+,280,426,607.21,653.54,7.62998
+,283,427,609,656.78,7.84565
+,284,428,609.9,659.5,8.13248
+,285,428,610,659.5,8.11475
+,318,432,612.59,663.7,8.34326
+,325,433,616.73,666.03,7.99377
+,342,434,633,669.12,5.70616
+,343,437,634.12,684.71,7.97799
+,344,449,637.8,690.51,8.26435
+,361,449,637.99,690.51,8.2321
+,404,437,633.86,684.71,8.02228
+,408,449,634.45,690.51,8.836
+,409,449,638.98,690.51,8.06442
+,410,450,647.82,692,6.8198
+,428,453,659.5,711.57,7.89538
+,432,470,663.7,720.57,8.56863
+,433,470,666.03,720.57,8.18882
+,434,478,669.12,727.48,8.7219
+,435,478,675.42,727.48,7.7078
+,437,560,684.71,732.96,7.04678
+,449,569,690.51,740.12,7.18454
+,451,650,698.79,758.35,8.5233
+,452,650,706,758.35,7.41501
+,453,654,711.57,768.6,8.01467
+,467,650,700.71,758.35,8.22594
+,468,651,709.95,762.5,7.40193
+,469,713,715.21,772.1,7.95431
+,470,731,720.57,772.97,7.27202
-,478,483,727.48,691.6,-4.93209
+,497,650,703.77,758.35,7.75537
+,512,650,703.52,758.35,7.79367
+,515,654,709.29,768.6,8.36188
+,516,654,714.45,768.6,7.57926
-,527,539,712.4,685.94,-3.71421
+,549,650,703.4,758.35,7.81206
+,552,654,709.79,768.6,8.28555
+,557,654,719,768.6,6.89847
+,559,763,729.55,788.2,8.0392
+,560,765,732.96,794.21,8.35653
+,561,765,736.07,794.21,7.89871
+,568,765,738.55,794.21,7.53639
+,569,766,740.12,803.51,8.56483
+,574,766,741.22,803.51,8.40371
+,587,765,735,794.21,8.05578
+,588,765,737.1,794.21,7.74793
+,594,766,741.4,803.51,8.37739
+,640,765,735.25,794.21,8.01904
+,647,766,741.99,803.51,8.29122
+,650,767,758.35,812,7.07457
+,651,769,762.5,821.26,7.70623
+,654,771,768.6,853.3,11.02
+,665,770,765.27,827.14,8.08473
+,712,770,769.5,827.14,7.49058
+,713,771,772.1,853.3,10.5168
+,731,771,772.97,853.3,10.3924
+,732,771,773.04,853.3,10.3824
+,740,771,777.19,853.3,9.79297
+,763,771,788.2,853.3,8.25933
+,765,775,794.21,866.36,9.0845
+,766,775,803.51,866.36,7.82193
+,767,776,812,878.99,8.25
+,770,781,827.14,894.5,8.14372
+,771,802,853.3,907.76,6.38228
+,775,807,866.36,928.17,7.13445
+,776,833,878.99,958,8.98873
-,781,789,894.5,830,-7.21073
+,793,833,875.38,958,9.43819
+,797,833,884.52,958,8.30733
+,802,834,907.76,964.99,6.30453
+,805,838,918.16,988.59,7.67078
+,807,847,928.17,996.99,7.41459
+,808,848,932.9,1004.63,7.68893
+,832,848,936.25,1004.63,7.3036
+,833,849,958,1024.78,6.97077
+,834,851,964.99,1068.8,10.7576
+,836,851,974,1068.8,9.73306
+,837,851,985.98,1068.8,8.39976
+,838,851,988.59,1068.8,8.11358
+,847,853,996.99,1087.74,9.1024
+,848,853,1004.63,1087.74,8.2727
+,849,853,1024.78,1087.74,6.14376
-,850,855,1032.03,936,-9.30496
-,851,855,1068.8,936,-12.4251
-,871,892,891,759.04,-14.8103
-,882,891,872.59,815,-6.59989
-,889,891,883,815,-7.70102
+,898,926,800.01,867.02,8.37615
+,899,928,811.81,883.61,8.84443
+,925,949,846.35,905.51,6.99002
+,926,956,867.02,917.41,5.81186
+,928,1014,883.61,956.35,8.23214
+,940,1014,883.24,956.35,8.27748
+,941,1016,886.9,958.11,8.02909
+,949,1018,905.51,962,6.23847
+,950,1023,910.01,984,8.13068
+,981,1020,895.56,974.33,8.79561
+,982,1020,907.14,974.33,7.40679
+,984,1023,908,984,8.37004
+,1010,1025,919.3,991.9,7.89731
+,1011,1026,940,995.1,5.8617
+,1014,1052,956.35,1025,7.17833
+,1020,1063,974.33,1047.42,7.50157
+,1023,1134,984,1056.88,7.4065
+,1025,1137,991.9,1090.01,9.89112
+,1026,1137,995.1,1090.01,9.53773
-,1027,1067,995.26,940.5,-5.50208
-,1030,1066,999.07,948,-5.11175
-,1036,1066,1009.71,948,-6.11166
-,1046,1065,1001,965.99,-3.4975
-,1051,1065,1013.96,965.99,-4.73096
-,1052,1065,1025,965.99,-5.75707
-,1053,1065,1035.3,965.99,-6.69468
-,1057,1065,1045.3,965.99,-7.5873
+,1073,1134,991,1056.88,6.64783
+,1094,1137,995,1090.01,9.54874
+,1105,1137,1008.03,1090.01,8.13269
+,1108,1144,1025,1093,6.63415
+,1132,1149,1039.73,1126.6,8.35505
+,1133,1149,1042.07,1126.6,8.11174
+,1134,1152,1056.88,1145.46,8.38127
+,1136,1152,1065.81,1145.46,7.47319
+,1137,1153,1090.01,1178.08,8.07974
+,1144,1176,1093,1184.5,8.37145
+,1148,1185,1109.9,1194.9,7.65835
+,1149,1190,1126.6,1216.59,7.98775
+,1152,1192,1145.46,1256.62,9.7044
+,1153,1192,1178.08,1256.62,6.66678
+,1170,1192,1153,1256.62,8.98699
+,1171,1192,1155.15,1256.62,8.78414
+,1172,1192,1162.93,1256.62,8.05637
-,1175,1284,1176.12,1101.14,-6.3752
-,1185,1229,1194.9,1141.61,-4.45979
-,1190,1229,1216.59,1141.61,-6.16313
-,1191,1229,1220,1141.61,-6.42541
-,1192,1229,1256.62,1141.61,-9.15233
-,1236,1284,1193.51,1101.14,-7.73936
-,1239,1241,1249,1120,-10.3283
-,1252,1283,1210,1122,-7.27273
-,1264,1277,1236.8,1167,-5.6436
+,1294,1307,1057.43,1128.1,6.68318
-,1302,1323,1077.13,997.89,-7.35659
-,1303,1323,1101.46,997.89,-9.40297
-,1306,1321,1117.1,1026,-8.15504
-,1307,1321,1128.1,1026,-9.05062
+,1334,1346,991.1,1071,8.06175
+,1335,1367,1005.65,1078.01,7.19535
